_id,時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
221,1998000000,1998年,平成10年,26000,京都府,農業粗生産額,7650,千万円
222,1998000000,1998年,平成10年,26000,京都府,耕種計,6191,千万円
223,1998000000,1998年,平成10年,26000,京都府,米,2374,千万円
224,1998000000,1998年,平成10年,26000,京都府,麦類,7,千万円
225,1998000000,1998年,平成10年,26000,京都府,雑穀・豆類,90,千万円
226,1998000000,1998年,平成10年,26000,京都府,いも類,102,千万円
227,1998000000,1998年,平成10年,26000,京都府,野菜,2628,千万円
228,1998000000,1998年,平成10年,26000,京都府,果実,202,千万円
229,1998000000,1998年,平成10年,26000,京都府,花き,219,千万円
230,1998000000,1998年,平成10年,26000,京都府,工芸農作物,439,千万円
231,1998000000,1998年,平成10年,26000,京都府,種苗･苗木その他,130,千万円
232,1998000000,1998年,平成10年,26000,京都府,養蚕,1,千万円
233,1998000000,1998年,平成10年,26000,京都府,畜産計,1121,千万円
234,1998000000,1998年,平成10年,26000,京都府,肉用牛,147,千万円
235,1998000000,1998年,平成10年,26000,京都府,乳用牛,422,千万円
236,1998000000,1998年,平成10年,26000,京都府,豚,99,千万円
237,1998000000,1998年,平成10年,26000,京都府,鶏,442,千万円
238,1998000000,1998年,平成10年,26000,京都府,その他畜産物,10,千万円
239,1998000000,1998年,平成10年,26000,京都府,加工農産物,337,千万円
240,1998000000,1998年,平成10年,26000,京都府,生産農業所得,3261,千万円
241,1999000000,1999年,平成11年,26000,京都府,農業粗生産額,7679,千万円
242,1999000000,1999年,平成11年,26000,京都府,耕種計,6169,千万円
243,1999000000,1999年,平成11年,26000,京都府,米,2422,千万円
244,1999000000,1999年,平成11年,26000,京都府,麦類,8,千万円
245,1999000000,1999年,平成11年,26000,京都府,雑穀・豆類,106,千万円
246,1999000000,1999年,平成11年,26000,京都府,いも類,96,千万円
247,1999000000,1999年,平成11年,26000,京都府,野菜,2521,千万円
248,1999000000,1999年,平成11年,26000,京都府,果実,204,千万円
249,1999000000,1999年,平成11年,26000,京都府,花き,213,千万円
250,1999000000,1999年,平成11年,26000,京都府,工芸農作物,471,千万円
