時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
1993000000,1993年,平成5年,26000,京都府,加工農産物,2821 ,百万円
1993000000,1993年,平成5年,26000,京都府,生産農業所得,39349 ,百万円
1994000000,1994年,平成6年,26000,京都府,農業粗生産額,86609 ,百万円
1994000000,1994年,平成6年,26000,京都府,耕種計,71715 ,百万円
1994000000,1994年,平成6年,26000,京都府,米,36839 ,百万円
1994000000,1994年,平成6年,26000,京都府,麦類,42 ,百万円
1994000000,1994年,平成6年,26000,京都府,雑穀・豆類,1147 ,百万円
1994000000,1994年,平成6年,26000,京都府,いも類,1025 ,百万円
1994000000,1994年,平成6年,26000,京都府,野菜,23709 ,百万円
1994000000,1994年,平成6年,26000,京都府,果実,1640 ,百万円
1994000000,1994年,平成6年,26000,京都府,花き,1982 ,百万円
1994000000,1994年,平成6年,26000,京都府,工芸農作物,3832 ,百万円
1994000000,1994年,平成6年,26000,京都府,種苗･苗木その他,1499 ,百万円
1994000000,1994年,平成6年,26000,京都府,養蚕,33 ,百万円
1994000000,1994年,平成6年,26000,京都府,畜産計,12235 ,百万円
1994000000,1994年,平成6年,26000,京都府,肉用牛,1305 ,百万円
1994000000,1994年,平成6年,26000,京都府,乳用牛,4324 ,百万円
1994000000,1994年,平成6年,26000,京都府,豚,1608 ,百万円
1994000000,1994年,平成6年,26000,京都府,鶏,4762 ,百万円
1994000000,1994年,平成6年,26000,京都府,その他畜産物,236 ,百万円
1994000000,1994年,平成6年,26000,京都府,加工農産物,2626 ,百万円
1994000000,1994年,平成6年,26000,京都府,生産農業所得,37195 ,百万円
1995000000,1995年,平成7年,26000,京都府,農業粗生産額,80067 ,百万円
1995000000,1995年,平成7年,26000,京都府,耕種計,65256 ,百万円
1995000000,1995年,平成7年,26000,京都府,米,31313 ,百万円
1995000000,1995年,平成7年,26000,京都府,麦類,37 ,百万円
1995000000,1995年,平成7年,26000,京都府,雑穀・豆類,1468 ,百万円
1995000000,1995年,平成7年,26000,京都府,いも類,1054 ,百万円
1995000000,1995年,平成7年,26000,京都府,野菜,22431 ,百万円
1995000000,1995年,平成7年,26000,京都府,果実,1426 ,百万円
1995000000,1995年,平成7年,26000,京都府,花き,1972 ,百万円
1995000000,1995年,平成7年,26000,京都府,工芸農作物,3949 ,百万円
1995000000,1995年,平成7年,26000,京都府,種苗･苗木その他,1606 ,百万円
1995000000,1995年,平成7年,26000,京都府,養蚕,20 ,百万円
1995000000,1995年,平成7年,26000,京都府,畜産計,11860 ,百万円
1995000000,1995年,平成7年,26000,京都府,肉用牛,1217 ,百万円
1995000000,1995年,平成7年,26000,京都府,乳用牛,4157 ,百万円
1995000000,1995年,平成7年,26000,京都府,豚,1996 ,百万円
1995000000,1995年,平成7年,26000,京都府,鶏,4382 ,百万円
1995000000,1995年,平成7年,26000,京都府,その他畜産物,108 ,百万円
1995000000,1995年,平成7年,26000,京都府,加工農産物,2931 ,百万円
1995000000,1995年,平成7年,26000,京都府,生産農業所得,34912 ,百万円
1996000000,1996年,平成8年,26000,京都府,農業粗生産額,80141 ,百万円
1996000000,1996年,平成8年,26000,京都府,耕種計,65325 ,百万円
1996000000,1996年,平成8年,26000,京都府,米,29642 ,百万円
1996000000,1996年,平成8年,26000,京都府,麦類,51 ,百万円
1996000000,1996年,平成8年,26000,京都府,雑穀・豆類,1555 ,百万円
1996000000,1996年,平成8年,26000,京都府,いも類,1159 ,百万円
1996000000,1996年,平成8年,26000,京都府,野菜,22961 ,百万円
1996000000,1996年,平成8年,26000,京都府,果実,1571 ,百万円
1996000000,1996年,平成8年,26000,京都府,花き,1960 ,百万円
