時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,性別,項目,数値,単位
1990000202,1990年,平成2年,26206,亀岡市,全体,16歳以上総数,14889 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,自営農業だけに従事,5165 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,自営農業を主にその他の仕事に従事,252 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,その他の仕事を主に自営農業に従事,5771 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,その他の仕事だけに従事,1152 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,仕事に従事しなかった,2549 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,農業就業人口,5417 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,農家人口,3627 ,人
1990000202,1990年,平成2年,26207,城陽市,男,農家人口,1745 ,人
1990000202,1990年,平成2年,26207,城陽市,女,農家人口,1882 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,16歳以上総数,3000 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,自営農業だけに従事,1039 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,自営農業を主にその他の仕事に従事,42 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,その他の仕事を主に自営農業に従事,719 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,その他の仕事だけに従事,435 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,仕事に従事しなかった,765 ,人
1990000202,1990年,平成2年,26207,城陽市,全体,農業就業人口,1081 ,人
1990000202,1990年,平成2年,26208,向日市,全体,農家人口,1790 ,人
1990000202,1990年,平成2年,26208,向日市,男,農家人口,883 ,人
1990000202,1990年,平成2年,26208,向日市,女,農家人口,907 ,人
1990000202,1990年,平成2年,26208,向日市,全体,16歳以上総数,1490 ,人
1990000202,1990年,平成2年,26208,向日市,全体,自営農業だけに従事,412 ,人
1990000202,1990年,平成2年,26208,向日市,全体,自営農業を主にその他の仕事に従事,111 ,人
1990000202,1990年,平成2年,26208,向日市,全体,その他の仕事を主に自営農業に従事,377 ,人
1990000202,1990年,平成2年,26208,向日市,全体,その他の仕事だけに従事,165 ,人
1990000202,1990年,平成2年,26208,向日市,全体,仕事に従事しなかった,425 ,人
1990000202,1990年,平成2年,26208,向日市,全体,農業就業人口,523 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,農家人口,2412 ,人
1990000202,1990年,平成2年,26209,長岡京市,男,農家人口,1162 ,人
1990000202,1990年,平成2年,26209,長岡京市,女,農家人口,1250 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,16歳以上総数,2016 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,自営農業だけに従事,780 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,自営農業を主にその他の仕事に従事,59 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,その他の仕事を主に自営農業に従事,513 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,その他の仕事だけに従事,174 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,仕事に従事しなかった,490 ,人
1990000202,1990年,平成2年,26209,長岡京市,全体,農業就業人口,839 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,農家人口,3655 ,人
1990000202,1990年,平成2年,26210,八幡市,男,農家人口,1790 ,人
1990000202,1990年,平成2年,26210,八幡市,女,農家人口,1865 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,16歳以上総数,3015 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,自営農業だけに従事,1091 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,自営農業を主にその他の仕事に従事,85 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,その他の仕事を主に自営農業に従事,571 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,その他の仕事だけに従事,389 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,仕事に従事しなかった,879 ,人
1990000202,1990年,平成2年,26210,八幡市,全体,農業就業人口,1176 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,農家人口,458 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,男,農家人口,221 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,女,農家人口,237 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,16歳以上総数,371 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,自営農業だけに従事,156 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,自営農業を主にその他の仕事に従事,***,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,その他の仕事を主に自営農業に従事,116 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,その他の仕事だけに従事,34 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,仕事に従事しなかった,65 ,人
1990000202,1990年,平成2年,26303,乙訓郡大山崎町,全体,農業就業人口,156 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,農家人口,3086 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,男,農家人口,1491 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,女,農家人口,1595 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,16歳以上総数,2529 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,自営農業だけに従事,1034 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,自営農業を主にその他の仕事に従事,62 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,その他の仕事を主に自営農業に従事,576 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,その他の仕事だけに従事,270 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,仕事に従事しなかった,587 ,人
1990000202,1990年,平成2年,26322,久世郡久御山町,全体,農業就業人口,1096 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,農家人口,6053 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,男,農家人口,2921 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,女,農家人口,3132 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,16歳以上総数,5002 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,自営農業だけに従事,1617 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,自営農業を主にその他の仕事に従事,62 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,その他の仕事を主に自営農業に従事,1435 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,その他の仕事だけに従事,666 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,仕事に従事しなかった,1222 ,人
1990000202,1990年,平成2年,26342,綴喜郡田辺町,全体,農業就業人口,1679 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,農家人口,1749 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,男,農家人口,850 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,女,農家人口,899 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,16歳以上総数,1494 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,自営農業だけに従事,398 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,自営農業を主にその他の仕事に従事,38 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,その他の仕事を主に自営農業に従事,443 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,その他の仕事だけに従事,227 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,仕事に従事しなかった,388 ,人
1990000202,1990年,平成2年,26343,綴喜郡井手町,全体,農業就業人口,436 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,農家人口,3475 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,男,農家人口,1693 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,女,農家人口,1782 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,16歳以上総数,2852 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,自営農業だけに従事,800 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,自営農業を主にその他の仕事に従事,146 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,その他の仕事を主に自営農業に従事,965 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,その他の仕事だけに従事,347 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,仕事に従事しなかった,594 ,人
1990000202,1990年,平成2年,26344,綴喜郡宇治田原町,全体,農業就業人口,946 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,農家人口,2737 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,男,農家人口,1339 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,女,農家人口,1398 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,16歳以上総数,2238 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,自営農業だけに従事,784 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,自営農業を主にその他の仕事に従事,69 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,その他の仕事を主に自営農業に従事,615 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,その他の仕事だけに従事,289 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,仕事に従事しなかった,481 ,人
1990000202,1990年,平成2年,26361,相楽郡山城町,全体,農業就業人口,853 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,農家人口,3186 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,男,農家人口,1546 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,女,農家人口,1640 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,16歳以上総数,2617 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,自営農業だけに従事,1054 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,自営農業を主にその他の仕事に従事,51 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,その他の仕事を主に自営農業に従事,778 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,その他の仕事だけに従事,253 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,仕事に従事しなかった,481 ,人
1990000202,1990年,平成2年,26362,相楽郡木津町,全体,農業就業人口,1105 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,農家人口,3670 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,男,農家人口,1768 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,女,農家人口,1902 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,16歳以上総数,3073 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,自営農業だけに従事,1125 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,自営農業を主にその他の仕事に従事,57 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,その他の仕事を主に自営農業に従事,830 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,その他の仕事だけに従事,342 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,仕事に従事しなかった,719 ,人
1990000202,1990年,平成2年,26363,相楽郡加茂町,全体,農業就業人口,1182 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,農家人口,559 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,男,農家人口,267 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,女,農家人口,292 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,16歳以上総数,477 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,自営農業だけに従事,171 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,自営農業を主にその他の仕事に従事,15 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,その他の仕事を主に自営農業に従事,131 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,その他の仕事だけに従事,58 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,仕事に従事しなかった,102 ,人
1990000202,1990年,平成2年,26364,相楽郡笠置町,全体,農業就業人口,186 ,人
